
"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     2, "min",      0.136,       0.571,      0.720,     -6.725,     -8.654,     -0.003
     3, "max",      0.136,      -0.571,      1.490,      6.725,     46.590,      0.003
     3, "min",      0.136,      -0.571,      0.720,      6.725,     -8.654,    -28.561
     4, "max",     -1.155,      -0.000,      0.018,      0.005,     -1.933,     -0.030
     4, "min",     -1.222,      -0.000,     -0.010,      0.005,     -4.999,     -0.047
     5, "max",     -1.155,       0.000,      0.018,     -0.005,     -1.933,      0.047
     5, "min",     -1.222,       0.000,     -0.010,     -0.005,     -4.999,      0.030
     6, "max",      0.986,      -0.000,     -0.027,     -0.000,     68.003,     -0.021
     6, "min",      0.928,      -0.000,     -0.123,     -0.000,      7.320,     -0.033
     7, "max",      0.986,       0.000,     -0.027,      0.000,     68.003,      0.033
     7, "min",      0.928,       0.000,     -0.123,      0.000,      7.320,      0.021
     8, "max",      0.000,      -0.000,    302.309,     -0.000,  45346.737,     -0.006
     8, "min",      0.000,      -0.000,   -302.309,     -0.000,      0.329,     -0.006

"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     1, "max",      0.210,       0.000,      1.826,      0.000,    320.128,      0.000
     1, "min",     -3.485,       0.000,     -1.869,      0.000,     -0.125,     -0.000
     2, "max",      0.136,       0.571,      1.490,     -6.725,     46.590,     28.561
     2, "min",      0.136,       0.571,      0.720,     -6.725,     -8.654,     -0.003
     3, "max",      0.136,      -0.571,      1.490,      6.725,     46.590,      0.003
     3, "min",      0.136,      -0.571,      0.720,      6.725,     -8.654,    -28.561
     4, "max",     -1.155,      -0.000,      0.018,      0.005,     -1.933,     -0.030
     4, "min",     -1.222,      -0.000,     -0.010,      0.005,     -4.999,     -0.047
     5, "max",     -1.155,       0.000,      0.018,     -0.005,     -1.933,      0.047
     5, "min",     -1.222,       0.000,     -0.010,     -0.005,     -4.999,      0.030
     6, "max",      0.986,      -0.000,     -0.027,     -0.000,     68.003,     -0.021
     6, "min",      0.928,      -0.000,     -0.123,     -0.000,      7.320,     -0.033
     7, "max",      0.986,       0.000,     -0.027,      0.000,     68.003,      0.033
     7, "min",      0.928,       0.000,     -0.123,      0.000,      7.320,      0.021
     8, "max",      0.000,      -0.000,    302.309,     -0.000,  45346.737,     -0.006
     8, "min",      0.000,      -0.000,   -302.309,     -0.000,      0.329,     -0.006

"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     1, "max",      0.217,      -0.000,      1.826,     -0.000,    320.254,      0.000
     1, "min",     -3.478,      -0.000,     -1.869,     -0.000,      0.000,     -0.000
     2, "max",      0.131,       0.569,      1.492,     -6.725,     46.704,     28.447
     2, "min",      0.131,       0.569,      0.722,     -6.725,     -8.654,     -0.003
     3, "max",      0.131,      -0.569,      1.492,      6.725,     46.704,      0.003
     3, "min",      0.131,      -0.569,      0.722,      6.725,     -8.654,    -28.447
     4, "max",     -1.160,       0.000,      0.011,      0.005,      0.876,      0.008
     4, "min",     -1.226,       0.000,     -0.016,      0.005,     -1.637,     -0.002
     5, "max",     -1.160,      -0.000,      0.011,     -0.005,      0.876,      0.002
     5, "min",     -1.226,      -0.000,     -0.016,     -0.005,     -1.637,     -0.008
     6, "max",      0.983,      -0.000,      0.036,      0.000,      5.471,     -0.000
     6, "min",      0.924,      -0.000,     -0.060,      0.000,     -9.726,     -0.002
     7, "max",      0.983,       0.000,      0.036,     -0.000,      5.471,      0.002
     7, "min",      0.924,       0.000,     -0.060,     -0.000,     -9.726,      0.000
     8, "max",      0.000,      -0.000,    302.309,     -0.000,  45346.737,     -0.006
     8, "min",      0.000,      -0.000,   -302.309,     -0.000,      0.329,     -0.006

"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     1, "max",      0.217,       0.000,      1.826,     -0.000,    320.254,      0.000
     1, "min",     -3.478,       0.000,     -1.869,     -0.000,      0.000,     -0.000
     2, "max",      0.131,       0.569,      1.492,     -6.725,     46.704,     28.447
     2, "min",      0.131,       0.569,      0.722,     -6.725,     -8.654,     -0.003
     3, "max",      0.131,      -0.569,      1.492,      6.725,     46.704,      0.003
     3, "min",      0.131,      -0.569,      0.722,      6.725,     -8.654,    -28.447
     4, "max",     -1.160,       0.000,      0.011,      0.005,      0.876,      0.008
     4, "min",     -1.226,       0.000,     -0.016,      0.005,     -1.637,     -0.002
     5, "max",     -1.160,      -0.000,      0.011,     -0.005,      0.876,      0.002
     5, "min",     -1.226,      -0.000,     -0.016,     -0.005,     -1.637,     -0.008
     6, "max",      0.983,      -0.000,      0.036,      0.000,      5.471,     -0.000
     6, "min",      0.924,      -0.000,     -0.060,      0.000,     -9.726,     -0.002
     7, "max",      0.983,       0.000,      0.036,     -0.000,      5.471,      0.002
     7, "min",      0.924,       0.000,     -0.060,     -0.000,     -9.726,      0.000
     8, "max",      0.000,      -0.000,    302.309,     -0.000,  45346.737,     -0.006
     8, "min",      0.000,      -0.000,   -302.309,     -0.000,      0.329,     -0.006

"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     1, "max",      0.217,       0.000,      1.826,     -0.000,    320.254,      0.000
     1, "min",     -3.478,       0.000,     -1.869,     -0.000,      0.000,     -0.000
     2, "max",      0.131,       0.569,      1.492,     -6.725,     46.704,     28.447
     2, "min",      0.131,       0.569,      0.722,     -6.725,     -8.654,     -0.003
     3, "max",      0.131,      -0.569,      1.492,      6.725,     46.704,      0.003
     3, "min",      0.131,      -0.569,      0.722,      6.725,     -8.654,    -28.447
     4, "max",     -1.160,       0.000,      0.011,      0.005,      0.876,      0.008
     4, "min",     -1.226,       0.000,     -0.016,      0.005,     -1.637,     -0.002
     5, "max",     -1.160,      -0.000,      0.011,     -0.005,      0.876,      0.002
     5, "min",     -1.226,      -0.000,     -0.016,     -0.005,     -1.637,     -0.008
     6, "max",      0.983,      -0.000,      0.036,      0.000,      5.471,     -0.000
     6, "min",      0.924,      -0.000,     -0.060,      0.000,     -9.726,     -0.002
     7, "max",      0.983,       0.000,      0.036,     -0.000,      5.471,      0.002
